"sampleName","yrharv","gene","Barcode","logid","logmicrobid","logLoc","rep_code","plot","symbol","logtrt","yrdeploy","pullDate","bag"
"G5b",2012,"16S","Alpha14",403,467,"b","z",5,"5-E","G",2011,"6/15/2012",NA
"G5t",2012,"16S","Alpha13",403,465,"t","z",5,"5-E","G",2011,"6/15/2012",NA
"G6b",2012,"16S","Echo206",499,577,"b","z",6,"5-J","G",2011,"6/14/2012",NA
"G6t",2012,"16S","Echo205",499,574,"t","z",6,"5-J","G",2011,"6/14/2012",NA
"G7b",2012,"16S","Bravo62",595,687,"b","z",7,"2-J","G",2011,"6/12/2012",NA
"G7t",2012,"16S","Bravo61",595,684,"t","z",7,"2-J","G",2011,"6/12/2012",NA
"G8b",2012,"16S","Foxtrot254",691,796,"b","z",8,"2-P","G",2011,"6/12/2012",NA
"G8t",2012,"16S","Foxtrot253",691,793,"t","z",8,"2-P","G",2011,"6/12/2012",NA
"H1b",2012,"16S","Charlie112",23,32,"b","z",1,"1-I","H",2009,"6/6/2012",NA
"H1t",2012,"16S","Charlie111",23,30,"t","z",1,"1-I","H",2009,"6/6/2012",NA
"H2b",2012,"16S","Golf304",119,141,"b","z",2,"2-D","H",2009,"6/8/2012",NA
"H2t",2012,"16S","Golf303",119,139,"t","z",2,"2-D","H",2009,"6/8/2012",NA
"H3b",2012,"16S","Delta160",215,252,"b","z",3,"4-D","H",2009,"6/19/2012",NA
"H3t",2012,"16S","Delta159",215,250,"t","z",3,"4-D","H",2009,"6/19/2012",NA
"H4b",2012,"16S","Hotel352",311,362,"b","z",4,"1-H","H",2009,"6/21/2012",NA
"H4t",2012,"16S","Hotel351",311,360,"t","z",4,"1-H","H",2009,"6/21/2012",NA
"H5b",2012,"16S","Alpha16",407,472,"b","z",5,"4-F","H",2009,"6/18/2012",NA
"H5t",2012,"16S","Alpha15",407,470,"t","z",5,"4-F","H",2009,"6/18/2012",NA
"H6b",2012,"16S","Echo208",503,582,"b","z",6,"1-A","H",2009,"6/15/2012",NA
"H6t",2012,"16S","Echo207",503,580,"t","z",6,"1-A","H",2009,"6/15/2012",NA
"H7b",2012,"16S","Bravo64",599,692,"b","z",7,"2-F","H",2009,"6/13/2012",NA
"H7t",2012,"16S","Bravo63",599,690,"t","z",7,"2-F","H",2009,"6/13/2012",NA
"H8b",2012,"16S","Foxtrot256",695,801,"b","z",8,"4-H","H",2009,"6/12/2012",NA
"H8t",2012,"16S","Foxtrot255",695,799,"t","z",8,"4-H","H",2009,"6/12/2012",NA
"I1b",2012,"16S","Charlie114",26,35,"b","z",1,"3-L","I",2009,"6/5/2012",NA
"I1t",2012,"16S","Charlie113",26,34,"t","z",1,"3-L","I",2009,"6/5/2012",NA
"I2b",2012,"16S","Golf306",122,145,"b","z",2,"1-C","I",2009,"6/7/2012",NA
"I2t",2012,"16S","Golf305",122,143,"t","z",2,"1-C","I",2009,"6/7/2012",NA
"I3b",2012,"16S","Delta162",218,255,"b","z",3,"3-J","I",2009,"6/19/2012",NA
"I3t",2012,"16S","Delta161",218,254,"t","z",3,"3-J","I",2009,"6/19/2012",NA
"I4b",2012,"16S","Hotel354",314,366,"b","z",4,"3-B","I",2009,"6/21/2012",NA
"I4t",2012,"16S","Hotel353",314,364,"t","z",4,"3-B","I",2009,"6/21/2012",NA
"I5b",2012,"16S","Alpha18",410,476,"b","z",5,"3-M","I",2009,"6/18/2012",NA
"I5t",2012,"16S","Alpha17",410,474,"t","z",5,"3-M","I",2009,"6/18/2012",NA
"I6b",2012,"16S","Echo210",506,586,"b","z",6,"3-H","I",2009,"6/15/2012",NA
"I6t",2012,"16S","Echo209",506,584,"t","z",6,"3-H","I",2009,"6/15/2012",NA
"I7b",2012,"16S","Bravo66",602,696,"b","z",7,"3-I","I",2009,"6/12/2012",NA
"I7t",2012,"16S","Bravo65",602,694,"t","z",7,"3-I","I",2009,"6/12/2012",NA
"I8b",2012,"16S","Foxtrot258",698,805,"b","z",8,"1-B","I",2009,"6/11/2012",NA
"I8t",2012,"16S","Foxtrot257",698,803,"t","z",8,"1-B","I",2009,"6/11/2012",NA
"J1b",2012,"16S","Charlie116",28,40,"b","z",1,"2-M","J",2011,"6/6/2012",NA
"J1t",2012,"16S","Charlie115",28,37,"t","z",1,"2-M","J",2011,"6/6/2012",NA
"J2b",2012,"16S","Golf308",124,150,"b","z",2,"1-I","J",2011,"6/8/2012",NA
"J2t",2012,"16S","Golf307",124,147,"t","z",2,"1-I","J",2011,"6/8/2012",NA
"J3b",2012,"16S","Delta164",220,260,"b","z",3,"2-H","J",2011,"6/20/2012",NA
"J3t",2012,"16S","Delta163",220,257,"t","z",3,"2-H","J",2011,"6/20/2012",NA
"J4b",2012,"16S","Hotel356",316,371,"b","z",4,"3-K","J",2011,"6/21/2012",NA
"J4t",2012,"16S","Hotel355",316,368,"t","z",4,"3-K","J",2011,"6/21/2012",NA
"J5b",2012,"16S","Alpha20",412,481,"b","z",5,"3-A","J",2011,"6/18/2012",NA
"J5t",2012,"16S","Alpha19",412,478,"t","z",5,"3-A","J",2011,"6/18/2012",NA
"J6b",2012,"16S","Echo212",508,591,"b","z",6,"3-F","J",2011,"6/15/2012",NA
"J6t",2012,"16S","Echo211",508,588,"t","z",6,"3-F","J",2011,"6/15/2012",NA
"J7b",2012,"16S","Bravo68",604,701,"b","z",7,"2-G","J",2011,"6/13/2012",NA
"J7t",2012,"16S","Bravo67",604,698,"t","z",7,"2-G","J",2011,"6/13/2012",NA
"J8b",2012,"16S","Foxtrot260",700,810,"b","z",8,"1-S","J",2011,"6/11/2012",NA
"J8t",2012,"16S","Foxtrot259",700,807,"t","z",8,"1-S","J",2011,"6/11/2012",NA
"K1b",2012,"16S","Charlie118",32,45,"b","z",1,"4-B","K",2009,"6/7/2012",NA
"K1t",2012,"16S","Charlie117",32,43,"t","z",1,"4-B","K",2009,"6/7/2012",NA
"K2b",2012,"16S","Golf310",128,155,"b","z",2,"4-H","K",2009,"6/8/2012",NA
"K2t",2012,"16S","Golf309",128,153,"t","z",2,"4-H","K",2009,"6/8/2012",NA
"K3b",2012,"16S","Delta166",224,264,"b","z",3,"3-F","K",2009,"6/19/2012",NA
"K3t",2012,"16S","Delta165",224,263,"t","z",3,"3-F","K",2009,"6/19/2012",NA
"K4b",2012,"16S","Hotel358",320,376,"b","z",4,"1-X","K",2009,"6/21/2012",NA
"K4t",2012,"16S","Hotel357",320,374,"t","z",4,"1-X","K",2009,"6/21/2012",NA
"K5b",2012,"16S","Alpha22",416,486,"b","z",5,"4-E","K",2009,"6/18/2012",NA
"K5t",2012,"16S","Alpha21",416,484,"t","z",5,"4-E","K",2009,"6/18/2012",NA
"K6b",2012,"16S","Echo214",512,596,"b","z",6,"2-L","K",2009,"6/14/2012",NA
"K6t",2012,"16S","Echo213",512,594,"t","z",6,"2-L","K",2009,"6/14/2012",NA
"K7b",2012,"16S","Bravo70",608,705,"b","z",7,"2-C","K",2009,"6/12/2012",NA
"K7t",2012,"16S","Bravo69",608,704,"t","z",7,"2-C","K",2009,"6/12/2012",NA
"K8b",2012,"16S","Foxtrot262",704,815,"b","z",8,"3-A","K",2009,"6/11/2012",NA
"K8t",2012,"16S","Foxtrot261",704,813,"t","z",8,"3-A","K",2009,"6/11/2012",NA
"L1b",2012,"16S","Charlie120",34,50,"b","z",1,"1-H","L",2011,"6/6/2012",NA
"L1t",2012,"16S","Charlie119",34,47,"t","z",1,"1-H","L",2011,"6/6/2012",NA
"L2b",2012,"16S","Golf312",130,160,"b","z",2,"3-D","L",2011,"6/7/2012",NA
"L2t",2012,"16S","Golf311",130,157,"t","z",2,"3-D","L",2011,"6/7/2012",NA
"L3b",2012,"16S","Delta168",226,269,"b","z",3,"2-C","L",2011,"6/20/2012",NA
"L3t",2012,"16S","Delta167",226,266,"t","z",3,"2-C","L",2011,"6/20/2012",NA
"L4b",2012,"16S","Hotel360",322,381,"b","z",4,"2-B","L",2011,"6/21/2012",NA
"L4t",2012,"16S","Hotel359",322,378,"t","z",4,"2-B","L",2011,"6/21/2012",NA
"L5b",2012,"16S","Alpha24",418,491,"b","z",5,"2-M","L",2011,"6/15/2012",NA
"L5t",2012,"16S","Alpha23",418,488,"t","z",5,"2-M","L",2011,"6/15/2012",NA
"L6b",2012,"16S","Echo216",514,601,"b","z",6,"2-F","L",2011,"6/14/2012",NA
"L6t",2012,"16S","Echo215",514,598,"t","z",6,"2-F","L",2011,"6/14/2012",NA
"L7b",2012,"16S","Bravo72",610,710,"b","z",7,"1-D","L",2011,"6/13/2012",NA
"L7t",2012,"16S","Bravo71",610,707,"t","z",7,"1-D","L",2011,"6/13/2012",NA
"L8b",2012,"16S","Foxtrot264",706,820,"b","z",8,"1-M","L",2011,"6/11/2012",NA
"L8t",2012,"16S","Foxtrot263",706,817,"t","z",8,"1-M","L",2011,"6/11/2012",NA
"M1b",2012,"16S","Charlie122",38,55,"b","z",1,"4-B","M",2009,"6/6/2012",NA
"M1t",2012,"16S","Charlie121",38,53,"t","z",1,"4-B","M",2009,"6/6/2012",NA
"M2b",2012,"16S","Golf314",134,165,"b","z",2,"2-F","M",2009,"6/7/2012",NA
"M2t",2012,"16S","Golf313",134,163,"t","z",2,"2-F","M",2009,"6/7/2012",NA
"M3b",2012,"16S","Delta170",230,274,"b","z",3,"1-K","M",2009,"6/20/2012",NA
"M3t",2012,"16S","Delta169",230,272,"t","z",3,"1-K","M",2009,"6/20/2012",NA
"M4b",2012,"16S","Hotel362",326,386,"b","z",4,"4-J","M",2009,"6/21/2012",NA
"M4t",2012,"16S","Hotel361",326,384,"t","z",4,"4-J","M",2009,"6/21/2012",NA
"M5b",2012,"16S","Alpha26",422,496,"b","z",5,"4-A","M",2009,"6/18/2012",NA
"M5t",2012,"16S","Alpha25",422,494,"t","z",5,"4-A","M",2009,"6/18/2012",NA
"M6b",2012,"16S","Echo218",518,606,"b","z",6,"1-H","M",2009,"6/14/2012",NA
"M6t",2012,"16S","Echo217",518,604,"t","z",6,"1-H","M",2009,"6/14/2012",NA
"M7b",2012,"16S","Bravo74",614,715,"b","z",7,"4-C","M",2009,"6/13/2012",NA
"M7t",2012,"16S","Bravo73",614,713,"t","z",7,"4-C","M",2009,"6/13/2012",NA
"M8b",2012,"16S","Foxtrot266",710,825,"b","z",8,"1-Y","M",2009,"6/11/2012",NA
"M8t",2012,"16S","Foxtrot265",710,823,"t","z",8,"1-Y","M",2009,"6/11/2012",NA
"N1b",2012,"16S","Charlie124",40,60,"b","z",1,"5-D","N",2011,"6/7/2012",NA
"N1t",2012,"16S","Charlie123",40,57,"t","z",1,"5-D","N",2011,"6/7/2012",NA
"N2b",2012,"16S","Golf316",136,170,"b","z",2,"7-A","N",2011,"6/7/2012",NA
"N2t",2012,"16S","Golf315",136,167,"t","z",2,"7-A","N",2011,"6/7/2012",NA
"N3b",2012,"16S","Delta172",232,279,"b","z",3,"6-C","N",2011,"6/20/2012",NA
"N3t",2012,"16S","Delta171",232,276,"t","z",3,"6-C","N",2011,"6/20/2012",NA
"N4b",2012,"16S","Hotel364",328,391,"b","z",4,"5-A","N",2011,"6/21/2012",NA
"N4t",2012,"16S","Hotel363",328,388,"t","z",4,"5-A","N",2011,"6/21/2012",NA
"N5b",2012,"16S","Alpha28",424,501,"b","z",5,"2-D","N",2011,"6/18/2012",NA
"N5t",2012,"16S","Alpha27",424,498,"t","z",5,"2-D","N",2011,"6/18/2012",NA
"N6b",2012,"16S","Echo220",520,611,"b","z",6,"6-B","N",2011,"6/15/2012",NA
"N6t",2012,"16S","Echo219",520,608,"t","z",6,"6-B","N",2011,"6/15/2012",NA
"N7b",2012,"16S","Bravo76",616,720,"b","z",7,"6-G","N",2011,"6/13/2012",NA
"N7t",2012,"16S","Bravo75",616,717,"t","z",7,"6-G","N",2011,"6/13/2012",NA
"N8b",2012,"16S","Foxtrot268",712,830,"b","z",8,"2-B","N",2011,"6/11/2012",NA
"N8t",2012,"16S","Foxtrot267",712,827,"t","z",8,"2-B","N",2011,"6/11/2012",NA
"O1b",2012,"16S","Charlie126",43,66,"b","z",1,"10-D","O",2011,"6/7/2012",NA
"O1t",2012,"16S","Charlie125",43,63,"t","z",1,"10-D","O",2011,"6/7/2012",NA
"O2b",2012,"16S","Golf318",139,176,"b","z",2,"6-B","O",2011,"6/7/2012",NA
"O2t",2012,"16S","Golf317",139,173,"t","z",2,"6-B","O",2011,"6/7/2012",NA
"O3b",2012,"16S","Delta174",235,285,"b","z",3,"4-A","O",2011,"6/20/2012",NA
"O3t",2012,"16S","Delta173",235,282,"t","z",3,"4-A","O",2011,"6/20/2012",NA
"O4b",2012,"16S","Hotel366",331,397,"b","z",4,"10-A","O",2011,"6/21/2012",NA
"O4t",2012,"16S","Hotel365",331,394,"t","z",4,"10-A","O",2011,"6/21/2012",NA
"O5b",2012,"16S","Alpha30",427,507,"b","z",5,"5-D","O",2011,"6/15/2012",NA
"O5t",2012,"16S","Alpha29",427,504,"t","z",5,"5-D","O",2011,"6/15/2012",NA
"O6b",2012,"16S","Echo222",523,617,"b","z",6,"4-E","O",2011,"6/14/2012",NA
"O6t",2012,"16S","Echo221",523,614,"t","z",6,"4-E","O",2011,"6/14/2012",NA
"O7b",2012,"16S","Bravo78",619,726,"b","z",7,"7-E","O",2011,"6/13/2012",NA
"O7t",2012,"16S","Bravo77",619,723,"t","z",7,"7-E","O",2011,"6/13/2012",NA
"O8b",2012,"16S","Foxtrot270",715,836,"b","z",8,"10-B","O",2011,"6/11/2012",NA
"O8t",2012,"16S","Foxtrot269",715,833,"t","z",8,"10-B","O",2011,"6/11/2012",NA
"P1b",2012,"16S","Charlie128",46,72,"b","z",1,"3-F","P",2011,"6/7/2012",NA
"P1t",2012,"16S","Charlie127",46,69,"t","z",1,"3-F","P",2011,"6/7/2012",NA
"P2b",2012,"16S","Golf320",142,182,"b","z",2,"2-E","P",2011,"6/7/2012",NA
"P2t",2012,"16S","Golf319",142,179,"t","z",2,"2-E","P",2011,"6/7/2012",NA
