"logmicrobid","logid","logLoc","rep_code","sampleName"
365,315,"t",NA,"I4t"
367,315,"b",NA,"I4b"
474,410,"t","z","I5t"
476,410,"b","z","I5b"
475,411,"t",NA,"I5t"
477,411,"b",NA,"I5b"
584,506,"t","z","I6t"
586,506,"b","z","I6b"
585,507,"t",NA,"I6t"
587,507,"b",NA,"I6b"
694,602,"t","z","I7t"
696,602,"b","z","I7b"
695,603,"t",NA,"I7t"
697,603,"b",NA,"I7b"
803,698,"t","z","I8t"
805,698,"b","z","I8b"
804,699,"t",NA,"I8t"
806,699,"b",NA,"I8b"
38,29,"t",NA,"J1t-bag"
41,29,"b",NA,"J1b-bag"
37,28,"t","z","J1t"
40,28,"b","z","J1b"
39,30,"t",NA,"J1t"
42,30,"b",NA,"J1b"
148,125,"t",NA,"J2t-bag"
151,125,"b",NA,"J2b-bag"
147,124,"t","z","J2t"
150,124,"b","z","J2b"
149,126,"t",NA,"J2t"
152,126,"b",NA,"J2b"
258,221,"t",NA,"J3t-bag"
261,221,"b",NA,"J3b-bag"
257,220,"t","z","J3t"
260,220,"b","z","J3b"
259,222,"t",NA,"J3t"
262,222,"b",NA,"J3b"
369,317,"t",NA,"J4t-bag"
372,317,"b",NA,"J4b-bag"
368,316,"t","z","J4t"
371,316,"b","z","J4b"
370,318,"t",NA,"J4t"
373,318,"b",NA,"J4b"
479,413,"t",NA,"J5t-bag"
482,413,"b",NA,"J5b-bag"
478,412,"t","z","J5t"
481,412,"b","z","J5b"
480,414,"t",NA,"J5t"
483,414,"b",NA,"J5b"
589,509,"t",NA,"J6t-bag"
592,509,"b",NA,"J6b-bag"
588,508,"t","z","J6t"
591,508,"b","z","J6b"
590,510,"t",NA,"J6t"
593,510,"b",NA,"J6b"
699,605,"t",NA,"J7t-bag"
702,605,"b",NA,"J7b-bag"
698,604,"t","z","J7t"
701,604,"b","z","J7b"
700,606,"t",NA,"J7t"
703,606,"b",NA,"J7b"
808,701,"t",NA,"J8t-bag"
811,701,"b",NA,"J8b-bag"
807,700,"t","z","J8t"
810,700,"b","z","J8b"
809,702,"t",NA,"J8t"
812,702,"b",NA,"J8b"
43,32,"t","z","K1t"
45,32,"b","z","K1b"
44,33,"t",NA,"K1t"
46,33,"b",NA,"K1b"
153,128,"t","z","K2t"
155,128,"b","z","K2b"
154,129,"t",NA,"K2t"
156,129,"b",NA,"K2b"
263,224,"t","z","K3t"
264,224,"b","z","K3b"
265,225,"mush",NA,"K3_"
374,320,"t","z","K4t"
376,320,"b","z","K4b"
375,321,"t",NA,"K4t"
377,321,"b",NA,"K4b"
484,416,"t","z","K5t"
486,416,"b","z","K5b"
485,417,"t",NA,"K5t"
487,417,"b",NA,"K5b"
594,512,"t","z","K6t"
596,512,"b","z","K6b"
595,513,"t",NA,"K6t"
597,513,"b",NA,"K6b"
704,608,"t","z","K7t"
705,608,"b","z","K7b"
706,609,"mush",NA,"K7_"
813,704,"t","z","K8t"
815,704,"b","z","K8b"
814,705,"t",NA,"K8t"
816,705,"b",NA,"K8b"
48,35,"t",NA,"L1t-bag"
51,35,"b",NA,"L1b-bag"
47,34,"t","z","L1t"
50,34,"b","z","L1b"
49,36,"t",NA,"L1t"
52,36,"b",NA,"L1b"
158,131,"t",NA,"L2t-bag"
161,131,"b",NA,"L2b-bag"
157,130,"t","z","L2t"
160,130,"b","z","L2b"
159,132,"t",NA,"L2t"
162,132,"b",NA,"L2b"
267,227,"t",NA,"L3t-bag"
270,227,"b",NA,"L3b-bag"
266,226,"t","z","L3t"
269,226,"b","z","L3b"
268,228,"t",NA,"L3t"
271,228,"b",NA,"L3b"
379,323,"t",NA,"L4t-bag"
382,323,"b",NA,"L4b-bag"
378,322,"t","z","L4t"
381,322,"b","z","L4b"
380,324,"t",NA,"L4t"
383,324,"b",NA,"L4b"
489,419,"t",NA,"L5t-bag"
492,419,"b",NA,"L5b-bag"
488,418,"t","z","L5t"
491,418,"b","z","L5b"
490,420,"t",NA,"L5t"
493,420,"b",NA,"L5b"
599,515,"t",NA,"L6t-bag"
602,515,"b",NA,"L6b-bag"
598,514,"t","z","L6t"
601,514,"b","z","L6b"
600,516,"t",NA,"L6t"
603,516,"b",NA,"L6b"
708,611,"t",NA,"L7t-bag"
711,611,"b",NA,"L7b-bag"
707,610,"t","z","L7t"
710,610,"b","z","L7b"
709,612,"t",NA,"L7t"
712,612,"b",NA,"L7b"
818,707,"t",NA,"L8t-bag"
821,707,"b",NA,"L8b-bag"
817,706,"t","z","L8t"
820,706,"b","z","L8b"
819,708,"t",NA,"L8t"
822,708,"b",NA,"L8b"
53,38,"t","z","M1t"
55,38,"b","z","M1b"
54,39,"t",NA,"M1t"
56,39,"b",NA,"M1b"
163,134,"t","z","M2t"
165,134,"b","z","M2b"
164,135,"t",NA,"M2t"
166,135,"b",NA,"M2b"
272,230,"t","z","M3t"
274,230,"b","z","M3b"
273,231,"t",NA,"M3t"
275,231,"b",NA,"M3b"
384,326,"t","z","M4t"
