"plot","symbol","logtrt","yrdeploy","yrharv","pullDate","bag","logid"
3,"3-D","plank_7","2009",2012,"6/19/2012",NA,260
3,"none","plank_7","2009",2014,"unknown",NA,261
3,"3-E","plank_8","2009",2010,"29-May-10",NA,262
3,"4-C","plank_8","2009",2012,"6/19/2012",NA,263
3,"none","plank_8","2009",2014,"unknown",NA,264
3,"1-A","Q","2009",2010,"29-May-10",NA,265
3,"1-B","Q","2009",2012,"6/19/2012",NA,266
3,"1-C","Q","2009",2014,"6/6/2014",NA,267
3,"2-1-E","R","2009",2010,"29-May-10",NA,268
3,"2-1-B","R","2009",2012,"6/19/2012",NA,269
3,"1-1-E","R","2009",2014,"6/6/2014",NA,270
3,"2-H","S","2009",2010,"29-May-10",NA,271
3,"2-G","S","2009",2012,"6/19/2012",NA,272
3,"1-I","S","2009",2014,"6/6/2014",NA,273
3,"2-I","T","2011",2012,"6/19/2012",NA,274
3,"6-B","T","2011",2014,"6/5/2014","b",275
3,"6-M","T","2011",2014,"6/5/2014",NA,276
3,"3-A","U","2009",2010,"29-May-10",NA,277
3,"1-E","U","2009",2012,"6/19/2012",NA,278
3,"5-G","U","2009",2014,"6/6/2014",NA,279
3,"5-K","V","2011",2012,"6/20/2012",NA,280
3,"6-C","V","2011",2014,"6/5/2014","b",281
3,"6-A","V","2011",2014,"6/5/2014",NA,282
3,"2-F","W","2009",2010,"29-May-10",NA,283
3,"2-C","W","2009",2012,"6/19/2012",NA,284
3,"1-H","W","2009",2014,"6/6/2014",NA,285
3,"1-K","X","2009",2010,"29-May-10",NA,286
3,"2-2-J","X","2009",2012,"6/19/2012",NA,287
3,"1-J","X","2009",2014,"6/6/2014",NA,288
4,"1-1-H","A","2009",2010,"8-Jul-10",NA,289
4,"1-1-A","A","2009",2012,"6/20/2012",NA,290
4,"3-D","A","2009",2014,"6/4/2014",NA,291
4,"3-E","B","2009",2010,"7-Jul-10",NA,292
4,"4-F","B","2009",2012,"6/20/2012",NA,293
4,"1-H","B","2009",2014,"6/4/2014",NA,294
4,"1-I","C","2009",2010,"7-Jul-10",NA,295
4,"2-I","C","2009",2012,"6/20/2012",NA,296
4,"3-D","C","2009",2014,"6/4/2014",NA,297
4,"2-H","D","2009",2010,"6-Jul-10",NA,298
4,"1-E","D","2009",2012,"6/20/2012",NA,299
4,"3-F","D","2009",2014,"6/4/2014",NA,300
4,"2-C","E","2009",2010,"6-Jul-10",NA,301
4,"3-G","E","2009",2012,"6/20/2012",NA,302
4,"1-C","E","2009",2014,"6/4/2014",NA,303
4,"1-H","F","2009",2010,"7-Jul-10",NA,304
4,"1-G","F","2009",2012,"6/20/2012",NA,305
4,"3-D","F","2009",2014,"6/4/2014",NA,306
4,"5-B","G","2011",2012,"6/21/2012",NA,307
4,"5-I","G","2011",2014,"6/5/2014","b",308
4,"3-I","G","2011",2014,"6/4/2014",NA,309
4,"4-G","H","2009",2010,"6-Jul-10",NA,310
4,"1-H","H","2009",2012,"6/21/2012",NA,311
4,"2-B","H","2009",2014,"6/4/2014",NA,312
4,"1-F","I","2009",2010,"08-Jul-10",NA,313
4,"3-B","I","2009",2012,"6/21/2012",NA,314
4,"1-H","I","2009",2014,"6/4/2014",NA,315
4,"3-K","J","2011",2012,"6/21/2012",NA,316
4,"3-D","J","2011",2014,"6/5/2014","b",317
4,"2-J","J","2011",2014,"6/4/2014",NA,318
4,"4-G","K","2009",2010,"6-Jul-10",NA,319
4,"1-X","K","2009",2012,"6/21/2012",NA,320
4,"1-B","K","2009",2014,"6/4/2014",NA,321
4,"2-B","L","2011",2012,"6/21/2012",NA,322
4,"1-G","L","2011",2014,"6/5/2014","b",323
4,"1-F","L","2011",2014,"6/4/2014",NA,324
4,"1-X","M","2009",2010,"8-Jul-10",NA,325
4,"4-J","M","2009",2012,"6/21/2012",NA,326
4,"1-C","M","2009",2014,"6/4/2014",NA,327
4,"5-A","N","2011",2012,"6/21/2012",NA,328
4,"7-C","N","2011",2014,"6/5/2014","b",329
4,"5-G","N","2011",2014,"6/4/2014",NA,330
4,"10-A","O","2011",2012,"6/21/2012",NA,331
4,"10-C","O","2011",2014,"6/5/2014","b",332
4,"9-B","O","2011",2014,"6/4/2014",NA,333
4,"2-F","P","2011",2012,"6/21/2012",NA,334
4,"1-E","P","2011",2014,"6/5/2014","b",335
4,"2-I","P","2011",2014,"6/4/2014",NA,336
4,"2-H","plank_1","2009",2010,"unknown",NA,337
4,"4-A","plank_1","2009",2012,"6/20/2012",NA,338
4,"none","plank_1","2009",2014,"unknown",NA,339
4,"3-G","plank_2","2009",2010,"unknown",NA,340
4,"2-G","plank_2","2009",2012,"6/20/2012",NA,341
4,"none","plank_2","2009",2014,"unknown",NA,342
4,"1-A","plank_3","2009",2010,"unknown",NA,343
4,"4-A","plank_3","2009",2012,"6/20/2012",NA,344
4,"none","plank_3","2009",2014,"unknown",NA,345
4,"1-D","plank_4","2009",2010,"unknown",NA,346
4,"3-C","plank_4","2009",2012,"6/20/2012",NA,347
4,"none","plank_4","2009",2014,"unknown",NA,348
4,"1-F","plank_5","2009",2010,"unknown",NA,349
4,"4-A","plank_5","2009",2012,"6/20/2012",NA,350
4,"none","plank_5","2009",2014,"unknown",NA,351
4,"1-E","plank_6","2009",2010,"unknown",NA,352
4,"3-E","plank_6","2009",2012,"6/20/2012",NA,353
4,"none","plank_6","2009",2014,"unknown",NA,354
4,"1-H","plank_7","2009",2010,"unknown",NA,355
4,"2-G","plank_7","2009",2012,"6/20/2012",NA,356
4,"none","plank_7","2009",2014,"unknown",NA,357
4,"3-B","plank_8","2009",2010,"unknown",NA,358
4,"1-B","plank_8","2009",2012,"6/20/2012",NA,359
4,"none","plank_8","2009",2014,"unknown",NA,360
4,"2-1-D","Q","2009",2010,"7-Jul-10",NA,361
4,"3-2-B","Q","2009",2012,"6/21/2012",NA,362
4,"1-E","Q","2009",2014,"6/4/2014",NA,363
4,"1-1-C","R","2009",2010,"8-Jul-10",NA,364
4,"2-1-F","R","2009",2012,"6/20/2012",NA,365
4,"3-1-B","R","2009",2014,"6/4/2014",NA,366
4,"3-D","S","2009",2010,"6-Jul-10",NA,367
4,"2-D","S","2009",2012,"6/20/2012",NA,368
4,"1-B","S","2009",2014,"6/4/2014",NA,369
4,"2-D","T","2011",2012,"6/21/2012",NA,370
4,"6-D","T","2011",2014,"6/5/2014","b",371
4,"1-D","T","2011",2014,"6/4/2014",NA,372
4,"2-F","U","2009",2010,"6-Jul-10",NA,373
4,"1-F","U","2009",2012,"6/21/2012",NA,374
4,"4-B","U","2009",2014,"6/4/2014",NA,375
4,"2-D","V","2011",2012,"6/21/2012",NA,376
4,"3-Z","V","2011",2014,"6/5/2014","b",377
4,"5-N","V","2011",2014,"6/4/2014",NA,378
4,"2-M","W","2009",2010,"7-Jul-10",NA,379
4,"2-E","W","2009",2012,"6/21/2012",NA,380
4,"1-A","W","2009",2014,"6/4/2014",NA,381
4,"3-A","X","2009",2010,"7-Jul-10",NA,382
4,"1-H","X","2009",2012,"6/21/2012",NA,383
4,"2-2-E","X","2009",2014,"6/4/2014",NA,384
5,"4-D","A","2009",2010,"1-Jul-10",NA,385
5,"1-1-C","A","2009",2012,"6/18/2012",NA,386
5,"1-1-B","A","2009",2014,"6/9/2014",NA,387
5,"4-I","B","2009",2010,"2-Jul-10",NA,388
5,"3-G","B","2009",2012,"6/18/2012",NA,389
5,"1-A","B","2009",2014,"6/9/2014",NA,390
5,"1-D","C","2009",2010,"30-Jun-10",NA,391
5,"1-F","C","2009",2012,"6/18/2012",NA,392
5,"3-C","C","2009",2014,"6/9/2014",NA,393
5,"4-I","D","2009",2010,"1-Jul-10",NA,394
5,"4-A","D","2009",2012,"6/15/2012",NA,395
5,"3-C","D","2009",2014,"6/9/2014",NA,396
5,"2-J","E","2009",2010,"30-Jun-10",NA,397
5,"2-H","E","2009",2012,"6/18/2012",NA,398
5,"3-K","E","2009",2014,"6/9/2014",NA,399
5,"1-X","F","2009",2010,"30-Jun-10",NA,400
5,"1-C","F","2009",2012,"6/18/2012",NA,401
5,"1-F","F","2009",2014,"6/9/2014",NA,402
5,"5-E","G","2011",2012,"6/15/2012",NA,403
5,"2-Q","G","2011",2014,"6/6/2014","b",404
5,"5-G","G","2011",2014,"6/9/2014",NA,405
5,"1-C","H","2009",2010,"1-Jul-10",NA,406
5,"4-F","H","2009",2012,"6/18/2012",NA,407
5,"2-C","H","2009",2014,"6/9/2014",NA,408
5,"1-I","I","2009",2010,"1-Jul-10",NA,409
5,"3-M","I","2009",2012,"6/18/2012",NA,410
5,"3-A","I","2009",2014,"6/9/2014",NA,411
5,"3-A","J","2011",2012,"6/18/2012",NA,412
5,"2-L","J","2011",2014,"6/6/2014","b",413
5,"1-K","J","2011",2014,"6/9/2014",NA,414
5,"3-D","K","2009",2010,"6-Jul-10",NA,415
5,"4-E","K","2009",2012,"6/18/2012",NA,416
5,"3-G","K","2009",2014,"6/9/2014",NA,417
5,"2-M","L","2011",2012,"6/15/2012",NA,418
5,"1-B","L","2011",2014,"6/6/2014","b",419
5,"1-P","L","2011",2014,"6/9/2014",NA,420
5,"1-D","M","2009",2010,"2-Jul-10",NA,421
5,"4-A","M","2009",2012,"6/18/2012",NA,422
5,"2-G","M","2009",2014,"6/9/2014",NA,423
5,"2-D","N","2011",2012,"6/18/2012",NA,424
5,"4-D","N","2011",2014,"6/6/2014","b",425
5,"4-F","N","2011",2014,"6/9/2014",NA,426
5,"5-D","O","2011",2012,"6/15/2012",NA,427
5,"1-B","O","2011",2014,"6/6/2014","b",428
5,"7-G","O","2011",2014,"6/9/2014",NA,429
5,"3-G","P","2011",2012,"6/15/2012",NA,430
5,"2-J","P","2011",2014,"6/6/2014","b",431
5,"2-M","P","2011",2014,"6/9/2014",NA,432
5,"1-F","plank_1","2009",2010,"unknown",NA,433
5,"2-F","plank_1","2009",2012,"6/18/2012",NA,434
5,"none","plank_1","2009",2014,"unknown",NA,435
5,"1-H","plank_2","2009",2010,"unknown",NA,436
5,"2-H","plank_2","2009",2012,"6/18/2012",NA,437
5,"none","plank_2","2009",2014,"unknown",NA,438
5,"1-C","plank_3","2009",2010,"unknown",NA,439
5,"2-C","plank_3","2009",2012,"6/18/2012",NA,440
5,"none","plank_3","2009",2014,"unknown",NA,441
5,"2-C","plank_4","2009",2010,"unknown",NA,442
5,"4-B","plank_4","2009",2012,"6/18/2012",NA,443
5,"none","plank_4","2009",2014,"unknown",NA,444
5,"2-G","plank_5","2009",2010,"unknown",NA,445
5,"1-J","plank_5","2009",2012,"6/18/2012",NA,446
5,"none","plank_5","2009",2014,"unknown",NA,447
5,"3-C","plank_6","2009",2010,"unknown",NA,448
5,"1-A","plank_6","2009",2012,"6/18/2012",NA,449
5,"none","plank_6","2009",2014,"unknown",NA,450
5,"2-H","plank_7","2009",2010,"unknown",NA,451
5,"3-E","plank_7","2009",2012,"6/18/2012",NA,452
5,"none","plank_7","2009",2014,"unknown",NA,453
5,"1-A","plank_8","2009",2010,"unknown",NA,454
5,"3-G","plank_8","2009",2012,"6/18/2012",NA,455
5,"none","plank_8","2009",2014,"unknown",NA,456
5,"1-F","Q","2009",2010,"30-Jun-10",NA,457
5,"2-1-A","Q","2009",2012,"6/18/2012",NA,458
5,"2-2-F","Q","2009",2014,"6/9/2014",NA,459
5,"1-2-A","R","2009",2010,"6-Jul-10",NA,460
5,"2-2-C","R","2009",2012,"6/15/2012",NA,461
5,"3-1-F","R","2009",2014,"6/9/2014",NA,462
5,"1-X","S","2009",2010,"30-Jun-10",NA,463
5,"1-A","S","2009",2012,"6/18/2012",NA,464
5,"1-G","S","2009",2014,"6/9/2014",NA,465
5,"6-I","T","2011",2012,"6/15/2012",NA,466
5,"2-J","T","2011",2014,"6/6/2014","b",467
5,"2-E","T","2011",2014,"6/9/2014",NA,468
5,"3-E","U","2009",2010,"2-Jul-10",NA,469
5,"4-G","U","2009",2012,"6/18/2012",NA,470
5,"1-D","U","2009",2014,"6/9/2014",NA,471
5,"2-A","V","2011",2012,"6/15/2012",NA,472
5,"2-F","V","2011",2014,"6/6/2014","b",473
5,"2-G","V","2011",2014,"6/9/2014",NA,474
5,"2-B","W","2009",2010,"2-Jul-10",NA,475
5,"2-K","W","2009",2012,"6/18/2012",NA,476
5,"1-B","W","2009",2014,"6/9/2014",NA,477
5,"2-2-A","X","2009",2010,"2-Jul-10",NA,478
5,"3-B","X","2009",2012,"6/18/2012",NA,479
5,"1-A","X","2009",2014,"6/9/2014",NA,480
6,"1-1-M","A","2009",2010,"29-Jun-10",NA,481
6,"4-F","A","2009",2012,"6/14/2012",NA,482
6,"1-1-D","A","2009",2014,"6/16/2014",NA,483
6,"4-J","B","2009",2010,"25-Jun-10",NA,484
6,"1-I","B","2009",2012,"6/14/2012",NA,485
6,"4-D","B","2009",2014,"6/16/2014",NA,486
6,"2-C","C","2009",2010,"30-Jun-10",NA,487
6,"1-H","C","2009",2012,"6/14/2012",NA,488
6,"1-M","C","2009",2014,"6/16/2014",NA,489
6,"4-F","D","2009",2010,"28-Jun-10",NA,490
6,"2-C","D","2009",2012,"6/15/2012",NA,491
6,"3-A","D","2009",2014,"6/16/2014",NA,492
6,"2-D","E","2009",2010,"30-Jun-10",NA,493
6,"1-E","E","2009",2012,"6/14/2012",NA,494
