"OTUid"	"percConfid"	"genusSpecies"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"OTU_1400"	1	"Gp3"	"Bacteria"	"Acidobacteria"	"Acidobacteria_Gp3"	"Gp3"	"unidentified"	"unidentified"	"unidentified"
"OTU_1401"	1	"Nocardioides"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardioidaceae"	"Nocardioides"	"unidentified"
"OTU_1402"	0.01	"unidentified"	"Bacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1403"	0.83	"Kineosporia"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Kineosporiaceae"	"Kineosporia"	"unidentified"
"OTU_1404"	0.75	"Sporomusa"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Sporomusa"	"unidentified"
"OTU_1405"	0.31	"unidentified"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"unidentified"	"unidentified"
"OTU_1406"	0.05	"unidentified"	"Bacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1407"	0.41	"unidentified"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Rhodocyclales"	"Rhodocyclaceae"	"unidentified"	"unidentified"
"OTU_1408"	0.15	"unidentified"	"Bacteria"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"	"unidentified"
"OTU_1409"	1	"Methylobacillus"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Methylophilales"	"Methylophilaceae"	"Methylobacillus"	"unidentified"
"OTU_141"	1	"Gryllotalpicola"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"Gryllotalpicola"	"unidentified"
"OTU_1410"	1	"Kaistia"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Kaistia"	"unidentified"
"OTU_1411"	0.27	"unidentified"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"unidentified"	"unidentified"	"unidentified"
"OTU_1412"	0.47	"unidentified"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Microbacteriaceae"	"unidentified"	"unidentified"
"OTU_1413"	0.79	"Rudaea"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Rudaea"	"unidentified"
"OTU_1414"	1	"Serratia"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Serratia"	"unidentified"
