Barcode	Sample	16S	ITS	LSU
Juliett471	M77	0	11240	8874
Juliett472	M608	0	4560	9817
Juliett473	M113	0	16774	14453
Juliett474	M544	0	21890	24700
Juliett475	M520	0	13152	13948
Juliett476	M161	0	8275	6945
Juliett477	M632	0	27016	9229
Juliett478	M612	0	16733	11118
Juliett479	Neg_2	0	16	26
Juliett480	Pos_FR-2_1	0	13967	12898
Kilo481	M524	0	2127	4055
Kilo482	M584	0	10535	8007
Kilo483	M85	0	8931	13560
Kilo484	M792	0	18293	7590
Kilo485	M592	0	26172	8368
Kilo486	M165	0	8435	12772
Kilo487	M552	0	25541	12627
Kilo488	M129	0	14510	9030
Kilo489	M145	0	11191	9479
Kilo490	M624	0	7184	8773
Kilo491	M137	0	4647	21842
Kilo492	M768	0	11119	11272
Kilo493	M100	0	10492	10548
Kilo494	M804	0	8323	11350
Kilo495	M341	0	3641	48147
Kilo496	M281	0	11436	14406
Kilo497	M357	0	11021	12600
Kilo498	M273	0	15457	14226
Kilo499	M732	0	26789	14853
Kilo500	M788	0	33431	10420
Kilo501	M728	0	14039	8020
Kilo502	M337	0	7323	16557
Kilo503	M301	0	6525	8555
Kilo504	M313	0	6892	10459
Kilo505	M309	0	1577	10414
Kilo506	M289	0	19097	23116
Kilo507	M764	0	9273	15616
Kilo508	M800	0	15273	13453
Kilo509	M329	0	10531	13340
Kilo510	M334	0	5079	10735
Kilo511	M785	0	6036	11039
Kilo512	M780	0	3812	13042
Kilo513	M297	0	23702	16330
Kilo514	M736	0	21530	11350
Kilo515	M756	0	31117	15245
Kilo516	M760	0	38309	14474
Kilo517	M744	0	28094	11744
Kilo518	M748	0	9134	6986
Kilo519	M293	0	8772	8552
Kilo520	M752	0	8966	15377
Kilo521	M305	0	18288	9679
Kilo522	M317	0	22988	11160
Kilo523	M353	0	6991	16445
Kilo524	M285	0	9105	11678
Kilo525	M277	0	7141	10832
Kilo526	M724	0	11313	17392
Kilo527	Neg_3	0	12	31
Kilo528	Pos_FR-2_2	0	8223	12436
Lima529	M776	0	21743	31635
Lima530	M740	0	8945	14757
Lima531	M720	0	8976	16465
Lima532	M500	0	7153	11286
Lima533	M448	0	9658	12204
Lima534	W717	0	12230	12351
Lima535	W265	0	12593	13690
Lima536	W933	0	11264	15905
Lima537	W857	0	20376	12591
Lima538	W285	0	27102	15334
Lima539	W45	0	9874	18215
Lima540	W5	0	13087	16945
Lima541	W21	0	3456	17949
Lima542	W729	0	44	15217
Lima543	W269	0	8799	8794
Lima544	W37	0	16025	14795
Lima545	W865	0	18303	10500
Lima546	W777	0	19573	14939
Lima547	W725	0	8638	21173
Lima548	W65	0	10857	22031
Lima549	W17	0	14189	22415
Lima550	W757	0	11878	15301
Lima551	W41	0	11468	19463
Lima552	Pos_Pr1187	0	12411	10642
Lima553	W309	0	21565	11647
Lima554	W272	0	19206	11435
Lima555	W873	0	5568	21583
Lima556	W753	0	3646	16162
Lima557	W825	0	9486	10809
Lima558	W733	0	11669	14620
Lima559	W845	0	11626	13097
Lima560	W749	0	42015	18171
Lima561	W13	0	24423	10454
Lima562	W281	0	14214	25682
Lima563	W465	0	12718	21655
Lima564	W241	0	5004	14497
Lima565	W289	0	9880	18190
Lima566	W881	0	12657	13895
Lima567	W949	0	11053	13384
Lima568	W869	0	29071	10252
Lima569	W891	0	11084	11810
Lima570	W293	0	19872	20437
Lima571	W961	0	17356	21314
Lima572	W853	0	16369	15570
Lima573	W301	0	13306	12490
Lima574	W477	0	12488	23890
Lima575	W449	0	18698	14289
Lima576	Neg_4	0	27	39
